规格	英文飞船名	中文飞船名	定位	官网状态	价格USD	来源	备注	隐藏标签	图片路径
旗舰级	890 Jump	起源 890 跃动	Exploration / Luxury Touring	可飞	950	已解析历史快照			Data\ShipImages\890-jump.jpg
旗舰级	Endeavor	武藏 奋进	Industrial / Heavy Science	概念	350	已解析历史快照			Data\ShipImages\endeavor.jpeg
旗舰级	Hull D	武藏 货轮 D	Transport / Heavy Freight	概念	550	已解析历史快照			Data\ShipImages\hull-d.jpg
旗舰级	Hull E	武藏 货轮 E	Transport / Heavy Freight	概念	750	已解析历史快照			Data\ShipImages\hull-e.jpg
旗舰级	Idris-M	圣盾 伊德里斯-M	Combat / Frigate	可飞	1000	已解析历史快照			Data\ShipImages\idris-m.jpeg
旗舰级	Idris-P	圣盾 伊德里斯-P	Combat / Frigate	可飞	1900	已解析历史快照			Data\ShipImages\idris-p.jpg
旗舰级	Javelin	圣盾 标枪	Combat / Destroyer	可飞	3000	已解析历史快照			Data\ShipImages\javelin.jpg
旗舰级	Kraken	德雷克 海妖	Industrial / Multi-role / Light Carrier	概念	1650	已解析历史快照			Data\ShipImages\kraken.jpg
旗舰级	Kraken Privateer	德雷克 海妖 私掠版	Industrial / Multi-role / Light Carrier	概念	2000	已解析历史快照			Data\ShipImages\kraken-privateer.jpg
旗舰级	Odin	铁砧 奥丁	Combat / Battlecruiser	概念	5900	已解析历史快照			Data\ShipImages\odin.jpg
旗舰级	Orion	RSI 猎户座	Industrial / Heavy Mining	概念	650	已解析历史快照			Data\ShipImages\orion.jpg
旗舰级	Pioneer	联合外域 开拓者	Industrial / Heavy Construction	概念	925	已解析历史快照			Data\ShipImages\pioneer.jpeg
旗舰级	Polaris	RSI 北极星	Combat / Corvette	可飞	975	已解析历史快照			Data\ShipImages\polaris.jpg
大型	400i	起源 400i	Exploration / Touring	可飞	250	已解析历史快照			Data\ShipImages\400i.jpg
大型	600i Explorer	起源 600i 探索版	Exploration / Expedition	可飞	475	已解析历史快照			Data\ShipImages\600i-explorer.jpg
大型	600i Touring	起源 600i 旅行版	Exploration / Luxury Touring	可飞	435	已解析历史快照			Data\ShipImages\600i-touring.jpg
大型	A2 Hercules	十字军 大力神 A2	Combat / Bomber	可飞	750	已解析历史快照			Data\ShipImages\a2-hercules.jpg
