源英文飞船名	源中文飞船名	源规格	UEX源名	替代船英文名	UEX已更新	显示规则	隐藏标签
Arrastra	RSI 阿拉斯塔	大型	RSI Arrastra	Anvil Arrow	1y	OnlyWhenSourceIsConcept	concept-loaner
Arrastra	RSI 阿拉斯塔	大型	RSI Arrastra	Argo MOLE	1y	OnlyWhenSourceIsConcept	concept-loaner
Arrastra	RSI 阿拉斯塔	大型	RSI Arrastra	MISC Prospector	1y	OnlyWhenSourceIsConcept	concept-loaner
Crucible	铁砧 坩埚	大型	Anvil Crucible	RSI Constellation Andromeda	1y	OnlyWhenSourceIsConcept	concept-loaner
E1 Spirit	十字军 星灵 E1	中型	Crusader E1 Spirit	Crusader A1 Spirit	1y	OnlyWhenSourceIsConcept	concept-loaner
Endeavor	武藏 奋进	旗舰级	MISC Endeavor	Drake Cutlass Red	1y	OnlyWhenSourceIsConcept	concept-loaner
Endeavor	武藏 奋进	旗舰级	MISC Endeavor	MISC Starfarer	1y	OnlyWhenSourceIsConcept	concept-loaner
Expanse	武藏 无垠	小型	MISC Expanse	MISC Prospector	1y	OnlyWhenSourceIsConcept	concept-loaner
Expanse	武藏 无垠	小型	MISC Expanse	MISC Reliant Kore	1y	OnlyWhenSourceIsConcept	concept-loaner
G12	起源 G12	小型	Origin G12	RSI Lynx	1y	OnlyWhenSourceIsConcept	concept-loaner
G12a	起源 G12a	小型	Origin G12-A	RSI Lynx	2y	OnlyWhenSourceIsConcept	concept-loaner
G12r	起源 G12r	小型	Origin G12-R	RSI Lynx	2y	OnlyWhenSourceIsConcept	concept-loaner
Galaxy	RSI 银河	大型	RSI Galaxy	Anvil Carrack	1y	OnlyWhenSourceIsConcept	concept-loaner
Genesis	创世纪星际客机	大型	Crusader Genesis Starliner	Crusader C2 Hercules Starlifter	2y	OnlyWhenSourceIsConcept	concept-loaner
Hull D	武藏 货轮 D	旗舰级	MISC Hull D	Anvil Arrow	7mo	OnlyWhenSourceIsConcept	concept-loaner
Hull D	武藏 货轮 D	旗舰级	MISC Hull D	Crusader C2 Hercules Starlifter	7mo	OnlyWhenSourceIsConcept	concept-loaner
Hull D	武藏 货轮 D	旗舰级	MISC Hull D	MISC Hull C	7mo	OnlyWhenSourceIsConcept	concept-loaner
Hull E	武藏 货轮 E	旗舰级	MISC Hull E	Anvil Arrow	7mo	OnlyWhenSourceIsConcept	concept-loaner
Hull E	武藏 货轮 E	旗舰级	MISC Hull E	Crusader C2 Hercules Starlifter	7mo	OnlyWhenSourceIsConcept	concept-loaner
Hull E	武藏 货轮 E	旗舰级	MISC Hull E	MISC Hull C	7mo	OnlyWhenSourceIsConcept	concept-loaner
Kraken	德雷克 海妖	旗舰级	Drake Kraken	Drake Buccaneer	1mo	OnlyWhenSourceIsConcept	concept-loaner
Kraken	德雷克 海妖	旗舰级	Drake Kraken	Crusader C2 Hercules Starlifter	1mo	OnlyWhenSourceIsConcept	concept-loaner
Kraken	德雷克 海妖	旗舰级	Drake Kraken	Drake Caterpillar	1mo	OnlyWhenSourceIsConcept	concept-loaner
Kraken	德雷克 海妖	旗舰级	Drake Kraken	RSI Polaris	1mo	OnlyWhenSourceIsConcept	concept-loaner
Kraken	德雷克 海妖	旗舰级	Drake Kraken	Drake Ironclad Assault	1mo	OnlyWhenSourceIsConcept	concept-loaner
Kraken Privateer	德雷克 海妖 私掠版	旗舰级	Drake Kraken Privateer	Drake Buccaneer	1mo	OnlyWhenSourceIsConcept	concept-loaner
Kraken Privateer	德雷克 海妖 私掠版	旗舰级	Drake Kraken Privateer	Crusader C2 Hercules Starlifter	1mo	OnlyWhenSourceIsConcept	concept-loaner
Kraken Privateer	德雷克 海妖 私掠版	旗舰级	Drake Kraken Privateer	Drake Caterpillar	1mo	OnlyWhenSourceIsConcept	concept-loaner
Kraken Privateer	德雷克 海妖 私掠版	旗舰级	Drake Kraken Privateer	RSI Polaris	1mo	OnlyWhenSourceIsConcept	concept-loaner
Kraken Privateer	德雷克 海妖 私掠版	旗舰级	Drake Kraken Privateer	Drake Ironclad	1mo	OnlyWhenSourceIsConcept	concept-loaner
Legionnaire	铁砧 军团兵	小型	Anvil Legionnaire	Aegis Vanguard Hoplite	1y	OnlyWhenSourceIsConcept	concept-loaner
Liberator	铁砧 解放者	大型	Anvil Liberator	Anvil F7C-M Super Hornet Mk I	1mo	OnlyWhenSourceIsConcept	concept-loaner
Liberator	铁砧 解放者	大型	Anvil Liberator	Drake Ironclad Assault	1mo	OnlyWhenSourceIsConcept	concept-loaner
Merchantman	巴努 商船	大型	Banu Merchantman	Crusader C2 Hercules Starlifter	1y	OnlyWhenSourceIsConcept	concept-loaner
Merchantman	巴努 商船	大型	Banu Merchantman	Banu Defender	1y	OnlyWhenSourceIsConcept	concept-loaner
Merchantman	巴努 商船	大型	Banu Merchantman	MISC Hull C	1y	OnlyWhenSourceIsConcept	concept-loaner
Nautilus	圣盾 鹦鹉螺	大型	Aegis Nautilus	Aegis Avenger Titan	1y	OnlyWhenSourceIsConcept	concept-loaner
Nautilus	圣盾 鹦鹉螺	大型	Aegis Nautilus	RSI Polaris	1y	OnlyWhenSourceIsConcept	concept-loaner
Nautilus Solstice Edition	圣盾 鹦鹉螺 至日版	大型	Aegis Nautilus Solstice Edition	Aegis Avenger Titan	1y	OnlyWhenSourceIsConcept	concept-loaner
Nautilus Solstice Edition	圣盾 鹦鹉螺 至日版	大型	Aegis Nautilus Solstice Edition	RSI Polaris	1y	OnlyWhenSourceIsConcept	concept-loaner
Odin	铁砧 奥丁	旗舰级	Anvil Odin	Aegis Idris-P	30d	OnlyWhenSourceIsConcept	concept-loaner
Odyssey	武藏 奥德赛	大型	MISC Odyssey	Anvil Carrack	1y	OnlyWhenSourceIsConcept	concept-loaner
